Sentence,NER
steve mcqueen provided a thrilling motorcycle chase in this greatest of all ww 2 prison escape movies,"{'Actor': ['steve mcqueen'], 'Plot': ['thrilling motorcycle chase in this', 'ww 2 prison escape movies'], 'Opinion': ['greatest of all']}"
liza minnelli and joel gray won oscars for their roles in this 1972 movie that follows nightclub entertainers in berlin as the nazis come to power,"{'Actor': ['liza minnelli', 'joel gray'], 'Award': ['won oscars'], 'Year': ['1972'], 'Plot': ['that follows nightclub entertainers in berlin as the nazis come to power']}"
what is that tom hanks and julia roberts movie about hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts,"{'Actor': ['tom hanks', 'julia roberts'], 'Plot': ['hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts']}"
what is the movie making fun of macgyver by re enacting scenes similar to his movies,{'Plot': ['making fun of macgyver by re enacting scenes similar to his movies']}
i am thinking of an animated film based on a classic theodor geisel children s novel about a young boy s quest to save the trees,"{'Genre': ['animated'], 'Origin': ['based on a classic theodor geisel children s novel'], 'Plot': ['a young boy s quest to save the trees']}"
what 1981 feature film starring mel gibson takes place in a post apocalyptic world in australia,"{'Year': ['1981'], 'Actor': ['mel gibson'], 'Plot': ['takes place in a post apocalyptic world in australia']}"
this steven speilberg supernatural story of a haunted house made many filmgoers afraid of clowns,"{'Director': ['steven speilberg'], 'Genre': ['supernatural'], 'Plot': ['haunted house']}"
in what 1997 movie is there a scene featuring muscians playing on the deck of a ship,{'Year': ['1997']}
what s the movie with julie andre where she sings and flies with an umbrella and dick van dyke,"{'Actor': ['julie andre', 'dick van dyke'], 'Plot': ['she sings and flies with an umbrella']}"
what is the movie where jbiebs does his concerts,"{'Actor': ['jbiebs'], 'Plot': ['does his concerts']}"
what was banksy the star and director doing before he created this film,{'Director': ['banksy']}
john travolta had that one scene where he had to jam the saving rod into a woman s chest,{'Actor': ['john travolta']}
what is the 1959 american thriller film directed by alfred hitchcock and starring cary grant and eva marie saint,"{'Year': ['1959'], 'Genre': ['american thriller'], 'Director': ['alfred hitchcock'], 'Actor': ['cary grant', 'eva marie saint']}"
i m thinking of an 80 s comedy film that stars dustin hoffman and terri garr where hoffman s character dresses up as a woman to land a job,"{'Year': ['80 s'], 'Genre': ['comedy film'], 'Actor': ['dustin hoffman', 'terri garr'], 'Plot': ['character dresses up as a woman to land a job']}"
what movie is about a teenage boy getting bit by a radioactive arachnid and gaining super powers,{'Plot': ['teenage boy getting bit by a radioactive arachnid and gaining super powers']}
i am thinking of a blockbuster science fiction film that stars will smith and tommy lee jones as undercover agents who fight intergalactic beings,"{'Opinion': ['blockbuster'], 'Genre': ['science fiction'], 'Actor': ['will smith', 'tommy lee jones'], 'Plot': ['undercover agents who fight intergalactic beings']}"
i am thinking of a film in which a little girl s house accidentally lands on top of a witch and the witches sister vows revenge,{'Plot': ['a little girl s house accidentally lands on top of a witch and the witches sister vows revenge']}
what baseball film starring dennis quaid is based on the true story of pitcher jim morris,"{'Genre': ['baseball film'], 'Actor': ['dennis quaid'], 'Origin': ['based on the true story of pitcher jim morris']}"
a 1939 movie adaptation of 1000 plus page book starring clark gable and vivien leigh,"{'Year': ['1939'], 'Actor': ['clark gable', 'vivien leigh']}"
what movie was inspired by a very famous song by the beatles and written by paul mccartney,"{'Soundtrack': ['famous song by the beatles'], 'Origin': ['and written by paul mccartney']}"
i m thinking of a movie where the wimpy main character befriends a fierce animal to the dismay of his viking community,{'Plot': ['the wimpy main character befriends a fierce animal to the dismay of his viking community']}
what film did billy bob thornton win an oscar for writing,"{'Actor': ['billy bob thornton'], 'Award': ['oscar for writing']}"
what 1979 musical is loosely based on the life and career of the film s director bob fosse,"{'Year': ['1979'], 'Genre': ['musical'], 'Plot': ['based on the life and career of the film s director'], 'Director': ['bob fosse']}"
while shooting this pivotal counterculture film paul newman was said to have eaten over fifty boiled eggs in a single afternoon,"{'Opinion': ['pivotal'], 'Genre': ['counterculture'], 'Actor': ['paul newman']}"
what 2012 movie revived the american pie chain by bringing back jason biggs alyson hannigan and most of the rest of the cast from the original film,"{'Year': ['2012'], 'Relationship': ['american pie chain'], 'Actor': ['jason biggs alyson hannigan']}"
based on a graphic novel this film stars actor mickey rourke and features others such as jessica alba carla gugino bruce willis and tobey maguire,"{'Genre': ['graphic novel'], 'Actor': ['mickey rourke', 'jessica alba carla gugino bruce willis and tobey maguire']}"
what 2000 movie is the story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter,"{'Year': ['2000'], 'Plot': ['story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter']}"
i m thinking of a movie with leo dicaprio in which he enters the human mind through their dreams,"{'Actor': ['leo dicaprio'], 'Plot': ['he enters the human mind through their dreams']}"
a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks,{'Plot': ['a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks']}
released in 1967 this film featured a major cast of stars portraying a group of enlisted convicts in wwii led by lee marvin,"{'Year': ['1967'], 'Plot': ['a group of enlisted convicts in wwii led by'], 'Actor': ['lee marvin']}"
i am thinking of the award winning steven spielberg film that stars tom hanks as an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy,"{'Director': ['steven spielberg'], 'Actor': ['tom hanks'], 'Plot': ['an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy']}"
what is the movie about luke skywalker breaking free from his aunt and uncle to rescue princess leia,"{'Character_Name': ['luke skywalker', 'princess leia'], 'Plot': ['breaking free from his aunt and uncle to rescue']}"
what is the film based off the children s rhyme about the couple who go over the hill,{'Plot': ['couple who go over the hill']}
what is that film starring julia roberts who plays a middle aged woman who decides to embark on an adventure and goes to bali,"{'Actor': ['julia roberts'], 'Plot': ['middle aged woman who decides to embark on an adventure and goes to bali']}"
im thinking of a movie where a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules,{'Plot': ['a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules']}
fuck you thunder your just gods farts,{}
which film is about a group of seemingly unrelated characters being isolated and tortured by the villain jigsaw,"{'Plot': ['a group of seemingly unrelated characters being isolated and tortured by the villain'], 'Character_Name': ['jigsaw']}"
what is the name of the animated film based on a clown fish who has lost his son,"{'Genre': ['animated'], 'Plot': ['a clown fish who has lost his son']}"
i am thinking of the film adaptation of the fannie flagg novel that stars jessica tandy and kathy bates and tells the tale of a strong bond between two depression era women,"{'Origin': ['fannie flagg novel'], 'Actor': ['jessica tandy', 'kathy bates'], 'Plot': ['tells the tale of a strong bond between two depression era women']}"
i want to see that movie with jonah hill who has to bring an alcoholic english rockstar playboy nuisance to his destination before a set time,"{'Actor': ['jonah hill'], 'Plot': ['bring an alcoholic english rockstar playboy nuisance to his destination before a set time']}"
what movie features psychopath norman bates and the most famous shower scene in cinematic history,"{'Character_Name': ['norman bates'], 'Opinion': ['famous shower scene in cinematic history']}"
this movie is about a street urchin accidentally meets princess jasmine who is in the city undercover they love each other but she can only marry a prince,"{'Plot': ['a street urchin accidentally meets princess', 'who is in the city undercover they love each other but she can only marry a prince'], 'Character_Name': ['jasmine']}"
what s the movie where the myth of gangster keiser soze is recounted from different perspectives,"{'Genre': ['myth'], 'Character_Name': ['keiser soze'], 'Plot': ['recounted', 'perspectives']}"
what is the name of the movie where jeremy renner plays the sergeant of an army bomb squad unit during the iraq war,"{'Actor': ['jeremy renner'], 'Plot': ['the sergeant of an army bomb squad unit during the iraq war']}"
what is this 1972 iconic american epic crime film about a man who has an offer you ca n t refuse,"{'Year': ['1972'], 'Genre': ['american', 'crime'], 'Opinion': ['epic'], 'Plot': ['a man who has an offer you ca n t refuse']}"
i am thinking of a film that was based on a classic literary novel written by emily bronte about a boy named heathcliff,"{'Origin': ['classic literary novel written by emily bronte'], 'Plot': ['about a boy named'], 'Character_Name': ['heathcliff']}"
this gene kelly classic has three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman,"{'Actor': ['gene kelly'], 'Opinion': ['classic'], 'Plot': ['three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman']}"
in this 2012 movie chris pine and tom hardy are cia agents fighting each other over a girl,"{'Year': ['2012'], 'Actor': ['chris pine', 'tom hardy'], 'Plot': ['cia agents fighting each other over a girl']}"
what is the movie that s based on a man who goes on adventures and meets both giants and very small people,{'Plot': ['a man who goes on adventures and meets both giants and very small people']}
which of these movies came out in 2010 and starred jake gyllenhaal in a pg 13 disney movie,"{'Year': ['2010'], 'Actor': ['jake gyllenhaal'], 'Director': ['pg 13'], 'Genre': ['disney']}"
what is the movie where an unappreciated villain in a video games leaves his game and enters others,{'Plot': ['unappreciated villain in a video games leaves his game and enters others']}
what movie about a rambunctious rock star was a spin off to the comedy forgetting sarah marshall,"{'Plot': ['a rambunctious rock star was a'], 'Relationship': ['spin off to the comedy forgetting sarah marshall']}"
what is the movie directed by quentin tarantino about a jewelry heist that goes wrong,"{'Director': ['quentin tarantino'], 'Plot': ['a jewelry heist that goes wrong']}"
i m thinking of the epic movie based on the book by j r r tolkien featuring hobbits wizards elves and a dark magic,"{'Origin': ['based on the book by j r r tolkien'], 'Plot': ['hobbits wizards elves and a dark magic']}"
