Sentence,NER,generated_ner
a four star restaurant with a bar,"{""Rating"": [""four star""], ""Location"": [""with a""], ""Amenity"": [""bar""]}",{}
any asian cuisine around,"{""Cuisine"": [""asian""], ""Location"": [""around""]}",{}
any bbq places open before 5 nearby,"{""Cuisine"": [""bbq""], ""Hours"": [""open before 5""], ""Location"": [""nearby""]}",{}
any dancing establishments with reasonable pricing,"{""Location"": [""dancing establishments""], ""Price"": [""reasonable""]}",{}
any good cheap german restaurants nearby,"{""Price"": [""cheap""], ""Cuisine"": [""german""], ""Location"": [""nearby""]}","{ ""location"": [""German""]}"
any good ice cream parlors around,"{""Rating"": [""good""], ""Cuisine"": [""ice cream parlors""], ""Location"": [""around""]}",{}
any good place to get a pie at an affordable price,"{""Rating"": [""good""], ""Dish"": [""pie""], ""Price"": [""affordable""]}",{}
any good vegan spots nearby,"{""Cuisine"": [""vegan""], ""Location"": [""nearby""]}",{}
any mexican places have a tameles special today,"{""Cuisine"": [""mexican""], ""Dish"": [""tameles""], ""Amenity"": [""special today""]}","{ ""location"": [""mexican""]}"
any place along the road has a good beer selection that also serves ribs,"{""Location"": [""along the road""], ""Rating"": [""good""], ""Dish"": [""beer"", ""ribs""]}",{}
any places around here that has a nice view,"{""Location"": [""around here""], ""Amenity"": [""nice view""]}",{}
any reasonably priced indian restaurants in the theater district,"{""Price"": [""reasonably""], ""Cuisine"": [""indian""], ""Location"": [""in the theater district""]}","{ ""location"": [""indian""]}"
any restaurants open right now,"{""Hours"": [""open right now""]}",{}
any restaurants that still allow smoking,"{""Amenity"": [""smoking""]}",{}
any stores around where i could buy a pasta dish where the prices are not too high,"{""Location"": [""around""], ""Dish"": [""pasta""], ""Price"": [""prices are not too high""]}",{}
anything on the avenue,"{""Location"": [""avenue""]}",{}
anything open after midnight with reasonable prices,"{""Hours"": [""open after midnight""], ""Price"": [""reasonable""]}",{}
are children allowed in this particular sitting area,"{""Amenity"": [""children"", ""sitting area""]}",{}
are reservations available for four people for 8 pm tonight at 112 eatery,"{""Restaurant_Name"": [""112 eatery""]}",{}
are the portion at le bec fin large or very small,"{""Restaurant_Name"": [""le bec fin""]}","{ ""location"": [""le bec fin""]}"
are there any 24 hour breakfast places nearby,"{""Hours"": [""24 hour""], ""Cuisine"": [""breakfast""], ""Location"": [""nearby""]}",{}
are there any 50s style diners in glendale,"{""Amenity"": [""50s style""], ""Cuisine"": [""diners""], ""Location"": [""glendale""]}","{ ""location"": [""glendale""]}"
are there any authentic mexican restaurants in the area,"{""Cuisine"": [""authentic mexican""], ""Location"": [""in the area""]}","{ ""location"": [""mexican""]}"
are there any bars nearby that serve food like italian or french,"{""Cuisine"": [""bars"", ""italian"", ""french""], ""Location"": [""nearby""]}","{ ""location"": [""Italian"", ""French""]}"
are there any brewpubs downtown,"{""Cuisine"": [""brewpubs""], ""Location"": [""downtown""]}",{}
are there any cafeterias near,"{""Cuisine"": [""cafeterias""], ""Location"": [""near""]}",{}
are there any charlestown restaurants open very early for lunch,"{""Location"": [""charlestown""], ""Hours"": [""open very early"", ""lunch""]}","{ ""location"": [""charlestown""]}"
are there any chick fil as in the city open on sunday,"{""Restaurant_Name"": [""chick fil as""], ""Location"": [""in the city""], ""Hours"": [""sunday""]}",{}
are there any chicken wing places nearby,"{""Dish"": [""chicken wing""], ""Location"": [""nearby""]}",{}
are there any child friendly restaurants within ten miles,"{""Amenity"": [""child friendly""], ""Location"": [""within ten miles""]}",{}
are there any chinese restaurants near cheyenne,"{""Cuisine"": [""chinese""], ""Location"": [""near cheyenne""]}","{ ""location"": [""cheyenne""]}"
are there any crab restaurants near here that are open late until 2 a m,"{""Cuisine"": [""crab""], ""Hours"": [""open late until 2 a m""]}",{}
are there any dining specials at le bec fin,"{""Amenity"": [""specials""], ""Restaurant_Name"": [""le bec fin""]}","{ ""location"": [""le bec fin""]}"
are there any donut and donuts within 5 minutes drive that has an extensive beer menu,"{""Restaurant_Name"": [""donut and donuts""], ""Location"": [""within 5 minutes drive""], ""Amenity"": [""extensive beer menu""]}",{}
are there any eatery at the hotel downtown,"{""Location"": [""hotel downtown""]}",{}
are there any exciting joints along the way thats reasonably priced,"{""Amenity"": [""exciting""], ""Location"": [""along the way""], ""Price"": [""reasonably""]}",{}
are there any fancy cambodian places on seaver street,"{""Amenity"": [""fancy""], ""Cuisine"": [""cambodian""], ""Location"": [""seaver street""]}","{ ""location"": [""cambodian""]}"
are there any fast food joints east of here,"{""Cuisine"": [""fast food""], ""Location"": [""east of here""]}",{}
are there any fast food restaurants that are kid friendly,"{""Cuisine"": [""fast food""], ""Amenity"": [""kid friendly""]}",{}
are there any fine dining options within 5 miles of my location,"{""Amenity"": [""fine dining""], ""Location"": [""within 5 miles""]}",{}
are there any five star restaurants around here,"{""Rating"": [""five star""], ""Location"": [""around here""]}",{}
are there any four star restaurants in this town,"{""Rating"": [""four star""], ""Location"": [""town""]}",{}
are there any fun restaurants serving brisket in town,"{""Amenity"": [""fun""], ""Dish"": [""brisket""], ""Location"": [""in town""]}","{ ""location"": [""brisket""]}"
are there any good family style restaurants around boston,"{""Amenity"": [""family style""], ""Location"": [""around boston""]}","{ ""location"": [""boston""]}"
are there any good soul food restaurants near by,"{""Rating"": [""good""], ""Cuisine"": [""soul""], ""Location"": [""near by""]}",{}
are there any greek restaurants in the area,"{""Cuisine"": [""greek""], ""Location"": [""in the area""]}","{ ""location"": [""greece""]}"
are there any greek restaurants in the theater district of the back bay,"{""Cuisine"": [""greek""], ""Location"": [""theater district"", ""back bay""]}","{ ""location"": [""greece""]}"
are there any hamburger restaurants close by,"{""Cuisine"": [""hamburger""], ""Location"": [""close by""]}",{}
are there any hotels nearby that have private rooms available at 1 am,"{""Hours"": [""1""]}",{}
are there any ice cream shops in my neighborhood that are open right now,"{""Cuisine"": [""ice cream""], ""Location"": [""in my neighborhood""], ""Hours"": [""open right now""]}",{}
are there any indian restaurants on long island,"{""Cuisine"": [""indian""], ""Location"": [""long island""]}",{}
are there any italian eateries nearby,"{""Cuisine"": [""italian""], ""Location"": [""nearby""]}",{}
are there any japanese restaurants in town that do discounts for bulk orders of sushi,"{""Cuisine"": [""japanese""], ""Location"": [""in town""], ""Amenity"": [""discounts for bulk orders"", ""sushi""]}","{ ""location"": [""japanese""]}"
are there any jazz clubs that serve food,"{""Amenity"": [""jazz clubs""]}",{}
